title,date,url
"Lula, Bolsonaro, Ciro e Tebet erram ao falar de mulheres, economia e alimentos","16 de setembro de 2022, 16h46",https://www.aosfatos.org/noticias/lula-bolsonaro-ciro-e-tebet-erram-ao-falar-de-mulheres-economia-alimentos/
Comício de Lula em Curitiba não estava vazio; vídeo foi gravado antes do início,"21 de setembro de 2022, 15h30",https://www.aosfatos.org/noticias/comicio-de-lula-em-curitiba-nao-estava-vazio-video-foi-gravado-antes-do-inicio/
Datafolha mostra soma de percentuais de 99% e 101% devido a arredondamento,"23 de setembro de 2022, 16h09",https://www.aosfatos.org/noticias/datafolha-101-porcento-arredondamento/
Presidenciáveis inflam legados e omitem fatos ao atacar adversários no Programa do Ratinho,"23 de setembro de 2022, 18h41",https://www.aosfatos.org/noticias/checamos-lula-bolsonaro-ciro-tebet-programa-ratinho/
Bolsonaro mente a podcasters evangélicos sobre compra de imóveis em dinheiro vivo,"13 de setembro de 2022, 18h03",https://www.aosfatos.org/noticias/bolsonaro-mente-podcasters-evangelicos-sobre-compra-imoveis-dinheiro-vivo/
Fotos antigas de canais danificados da transposição do São Francisco circulam fora de contexto,"27 de setembro de 2022, 14h10",https://www.aosfatos.org/noticias/fotos-antigas-de-canais-danificados-da-transposicao-do-sao-francisco-circulam-fora-de-contexto/
Vídeo que mostra preparação de urnas em sindicato em SP não indica irregularidade ou fraude,"27 de setembro de 2022, 16h30",https://www.aosfatos.org/noticias/video-que-mostra-preparacao-de-urnas-em-sindicato-em-sp-nao-indica-irregularidade-ou-fraude/
"Vídeo não mostra fraude, mas defeito em urna que foi substituída em Petrópolis (RJ)","4 de outubro de 2022, 18h35",https://www.aosfatos.org/noticias/video-nao-mostra-fraude-mas-defeito-em-urna-que-foi-substituida-em-petropolis-rj/
"Fala de Lula sobre ‘não deixar quietos’ Moro e Dallagnol é de 2020, não atual","4 de outubro de 2022, 12h44",https://www.aosfatos.org/noticias/fala-de-lula-sobre-nao-deixar-quietos-moro-e-dallagnol-e-de-2020-nao-atual/
"No início do segundo turno, Bolsonaro e Lula citam informações falsas sobre fome, educação e ministros do STF","7 de outubro de 2022, 17h29",https://www.aosfatos.org/noticias/no-inicio-do-segundo-turno-bolsonaro-e-lula-citam-informacoes-falsas-sobre-fome-educacao-e-ministros-do-stf/
Táxi mostrado em vídeo estava a serviço do TRE-RJ e com escolta policial,"2 de outubro de 2022, 13h56",https://www.aosfatos.org/noticias/taxi-mostrado-em-video-estava-a-servico-do-tre-rj-e-com-escolta-policial/
